id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isLarge,freeShipping,isSold
275517018123,1,3304,100.0,1,114.02,1,1,10,0,1,0,0,1
394319568652,0,21,100.0,0,30.0,0,0,3,0,0,0,1,0
155239991119,0,810,100.0,0,4.99,1,1,7,1,0,0,0,1
285025174725,0,276,97.9,0,10.0,0,0,7,0,1,0,0,0
234761688657,0,426,100.0,0,220.0,1,1,4,0,1,0,0,1
195455629027,0,2814,99.6,0,9.0,1,0,5,0,0,0,0,0
175475542903,0,895,98.2,0,9.99,0,0,7,0,0,0,0,1
265971576056,0,18,100.0,0,15.0,1,0,7,0,1,0,0,0
115585863395,0,1841,100.0,0,8.0,1,1,7,0,1,0,0,0
204140809499,0,322,100.0,0,3.2,0,0,7,0,1,0,0,1
285023013436,0,527,100.0,0,20.0,0,0,7,0,1,1,0,0
204143860918,0,2007,100.0,0,4.99,1,0,7,0,0,0,0,0
265970480452,1,26572,99.5,1,31.0,0,1,7,0,1,0,0,1
275520982801,0,65,100.0,0,15.0,1,1,7,0,1,0,0,0
125598943464,0,1755,100.0,0,14.99,1,0,7,0,1,0,0,1
175471860199,1,89886,100.0,1,10.5,0,1,7,0,1,0,0,1
334613301586,0,300,100.0,0,10.0,0,1,7,0,1,0,0,0
225234189080,0,3989,99.5,0,4.0,0,1,7,0,0,0,0,0
115594507035,0,990,98.4,0,24.99,1,0,7,0,0,0,0,0
175479405113,0,50,100.0,0,2.49,1,0,7,0,1,0,0,1
175477517086,0,1515,99.2,0,41.0,1,1,7,0,1,0,0,1
195450973040,0,2814,99.6,0,9.0,0,1,5,0,0,0,0,0
304688917597,0,612,100.0,0,15.0,1,1,7,0,1,0,0,1
144797181300,0,1,100.0,0,9.5,0,0,5,0,0,0,0,1
234761494189,0,1913,100.0,0,7.5,0,0,7,0,1,0,0,1
325410469720,0,371,100.0,0,15.0,1,1,10,0,1,0,0,0
403976256539,0,133,100.0,0,8.0,0,0,5,0,1,0,0,0
403971105480,1,31302,99.9,1,15.69,1,1,10,0,0,0,0,1
225239051402,0,49,100.0,0,0.99,1,0,5,0,1,0,0,0
204139962983,0,4,100.0,0,5.0,0,0,7,0,1,0,0,1
225229349633,0,1410,100.0,0,80.0,1,1,7,0,1,0,0,1
115593822967,0,1420,100.0,0,8.0,1,1,7,0,1,0,0,0
225239434939,1,2418,100.0,1,2.99,1,0,7,0,0,0,0,0
275524379901,0,14,100.0,0,31.0,0,0,7,0,1,0,0,1
295303053810,0,534,98.4,0,5.1,0,0,10,0,1,0,0,1
265968104506,0,942,99.0,0,4.99,0,0,7,1,0,0,0,1
374324585469,1,13160,99.6,1,29.7,1,1,10,0,1,0,1,1
165760031923,0,977,100.0,0,9.0,0,0,5,0,1,0,1,0
295320733171,0,540,100.0,0,151.0,1,0,7,0,1,0,0,1
175473306077,1,89966,100.0,1,25.0,0,1,7,0,1,1,0,1
285027821528,1,81573,99.6,1,0.01,1,0,7,0,0,0,0,0
255811820149,0,1051,100.0,0,15.0,1,0,7,0,1,1,0,0
165751475850,0,1531,100.0,0,7.5,1,1,7,0,1,0,0,0
125590880776,0,368,100.0,0,165.01,0,0,7,0,1,0,0,1
285026952983,0,2659,99.1,0,11.5,1,1,7,0,1,0,0,1
334616888381,0,20,100.0,0,20.0,1,1,7,0,1,0,0,0
325410154867,0,306,100.0,0,51.0,1,0,7,1,0,0,0,1
185647516694,0,140,100.0,0,18.0,1,0,7,0,1,0,0,0
364033101638,0,11989,99.5,0,30.0,1,1,7,1,0,0,0,0
364039912166,0,5,100.0,0,5.0,1,0,7,0,1,1,0,0
354370932680,1,26061,99.9,1,56.14,0,1,5,0,1,0,0,1
295320288657,0,540,100.0,0,82.0,1,0,7,0,1,0,0,1
354366431465,0,3490,99.5,0,33.0,0,1,7,0,1,0,1,1
125597322148,0,947,100.0,0,10.0,1,0,7,0,0,0,0,0
225231097663,0,1222,99.2,0,12.0,0,1,7,0,1,1,0,0
304682106864,0,554,100.0,0,64.0,1,1,7,0,1,0,0,1
195448131107,0,189,100.0,0,8.99,0,0,7,0,0,0,1,0
115585764165,0,403,100.0,0,14.99,1,1,7,0,0,0,0,1
325409747557,0,373,100.0,0,36.0,0,0,7,0,0,0,0,1
285017100590,0,60,100.0,0,42.0,1,1,10,1,0,0,0,1
255810576741,0,388,100.0,0,28.0,1,0,7,0,1,0,0,1
175478370394,0,1667,100.0,0,1.99,1,0,7,0,1,0,0,1
354371352334,0,3475,100.0,0,8.0,1,1,10,0,1,0,0,1
295316316058,0,743,100.0,0,9.0,0,0,10,0,0,0,0,0
285020658181,0,1055,100.0,0,180.0,1,1,7,0,1,0,0,0
155242626069,0,537,100.0,0,2.99,1,0,7,0,1,0,0,0
255802517254,0,767,100.0,0,19.99,1,1,7,0,0,0,0,1
285017097714,0,60,100.0,0,166.0,1,1,10,1,0,0,0,1
195449715149,0,2813,99.6,0,9.0,0,0,5,0,0,0,0,1
195444655623,1,28031,99.7,1,28.57,0,1,7,0,1,0,0,1
175476843799,0,775,100.0,0,19.99,0,0,3,0,1,0,0,0
385203821150,0,4,100.0,0,2.0,0,0,10,0,1,0,0,0
225224818712,0,1890,98.8,0,26.0,1,1,10,0,1,0,0,1
195445189828,0,187,100.0,0,3.99,0,1,7,0,0,0,0,0
134314355885,0,385,97.8,0,20.0,1,0,7,0,1,0,0,0
295310989420,0,1397,99.5,0,30.0,0,1,7,0,0,0,0,0
125583973188,0,1741,98.7,0,3.99,0,0,10,0,1,0,0,0
255802509970,0,410,100.0,0,100.0,1,1,7,0,1,0,0,1
