id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isLarge,freeShipping,isSold
165753087521,0,2860,100.0,0,108.2172,0,0,7,1,0,0,0,1
155235190742,0,109,100.0,1,387.24,1,1,10,0,1,0,0,1
255807106762,0,2406,100.0,1,194.46,0,1,7,0,1,0,0,1
165755587791,0,3659,99.7,1,5.04,0,0,7,1,0,0,0,1
325395937846,0,2226,99.8,0,4.4016,0,1,10,0,1,0,0,1
385214773751,0,6032,99.0,1,8.022,1,0,7,0,1,0,0,1
155232810736,0,2334,100.0,0,38.64,0,1,7,0,1,0,0,1
125590966568,0,819,100.0,1,3.99,1,0,10,0,1,0,0,1
175474544638,0,503,96.0,0,105.0,0,0,5,0,1,0,0,1
265961895194,0,4317,100.0,0,29.4,0,1,7,0,1,0,0,1
115590029662,0,429,100.0,0,294.0,0,1,7,0,1,0,0,1
134311732688,0,2341,100.0,1,294.0,1,0,10,0,1,0,0,1
134300965103,0,708,100.0,0,33.5916,0,1,10,0,1,0,0,1
325406964063,0,323,100.0,1,37.8,0,0,7,0,1,0,0,1
265961889201,0,4317,100.0,0,56.28,0,1,7,0,1,0,0,1
385206766911,0,19218,100.0,1,54.6,0,1,7,0,1,0,0,1
265961941239,0,4317,100.0,0,202.02,0,1,7,0,1,0,0,1
225228677257,0,4317,100.0,0,33.6,0,1,7,0,1,0,0,1
225236915439,0,4667,100.0,1,123.9,1,0,7,0,1,0,0,1
265961880383,0,4317,100.0,0,219.24,0,1,7,0,1,0,0,1
185646560991,0,1844,100.0,1,20.9916,1,0,7,0,0,0,0,1
185638540124,0,3769,98.7,0,67.1916,0,1,7,0,1,1,0,1
304683832845,0,3913,100.0,0,68.03999999999999,0,1,7,0,1,0,0,1
234764775511,0,6814,100.0,0,470.4,0,1,10,0,0,0,0,1
285023406942,0,2126,100.0,0,29.4,0,0,7,0,1,0,0,1
255811084291,0,710,100.0,0,48.72,1,0,7,0,1,0,0,1
115593777534,0,671,100.0,0,204.96,1,0,7,0,1,0,0,1
185640728346,0,1383,99.6,0,105.0,0,0,7,0,1,0,0,1
265961882434,0,4317,100.0,0,149.1,0,1,7,0,1,0,0,1
265961872306,0,4317,100.0,0,8.6268,0,1,7,0,1,0,0,1
195451157512,0,1857,100.0,0,38.0688,1,0,10,0,1,0,0,1
314218474403,0,8864,100.0,1,209.9916,0,0,5,1,0,0,0,1
403966593487,0,2407,100.0,1,72.24,1,0,7,0,1,0,0,1
115589472698,0,911,100.0,1,29.4,0,0,7,0,1,0,0,1
385210477149,0,18628,100.0,0,3.3516,0,0,7,1,0,0,0,1
364028960176,0,377,100.0,0,63.84,0,1,10,0,1,1,0,1
285022058606,0,1058,100.0,0,279.5268,0,0,7,0,1,0,0,1
394316740632,0,1047,100.0,0,8.3916,0,0,7,0,1,0,0,1
265965507585,0,214,100.0,1,37.8,0,1,7,0,1,0,0,1
125599043701,0,461,100.0,0,1.6716,1,0,7,1,0,0,0,1
385210417508,0,2684,100.0,0,168.42,0,0,7,0,1,0,0,1
225231637209,0,13102,99.6,1,8.3916,0,1,7,0,1,0,0,1
354367207928,0,110,100.0,0,16.240000000000002,0,0,7,0,1,0,0,1
403966554945,0,2407,100.0,1,42.798,1,0,7,0,1,0,0,1
155235155386,0,1086,99.4,1,20.1516,0,1,7,0,1,0,0,1
394318494537,0,7515,99.0,1,7.14,0,0,7,1,0,0,0,1
304685098927,0,15406,100.0,1,63.84,0,1,7,0,1,0,0,1
155235017509,0,1048,100.0,0,16.8,0,0,7,0,1,0,0,1
125584409866,0,1926,100.0,1,530.04,0,0,10,0,1,0,0,1
195448940971,0,305,100.0,0,47.502,0,0,7,0,1,0,0,1
165761355858,0,37,100.0,0,86.1,1,1,7,0,1,0,0,1
234762153520,1,11654,99.9,1,107.5116,0,1,7,1,0,0,0,1
314216153531,1,8262,99.6,1,54.6,0,1,10,0,1,0,0,1
265974669667,0,1332,94.4,1,266.28,1,0,7,0,1,0,0,1
334612127779,1,11653,99.9,1,18.522000000000002,0,1,7,1,0,0,0,1
165758988513,0,459,100.0,0,42.84,0,0,5,0,1,0,0,1
314218539596,0,3678,100.0,1,252.0,1,0,7,0,0,0,0,1
